City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kempsey,-31.0833,152.8333,6.08,87,13,1.34,AU,1686337471
1,walvis bay,-22.9575,14.5053,13.94,76,0,5.18,NA,1686337628
2,sitka,57.0531,-135.33,11.94,87,100,0.0,US,1686337628
3,pangody,65.85,74.4859,4.28,59,4,2.69,RU,1686337629
4,iqaluit,63.7506,-68.5145,4.83,75,100,2.24,CA,1686337629
5,isafjordur,66.0755,-23.124,7.02,93,75,4.12,IS,1686337629
6,hawaiian paradise park,19.5933,-154.9731,27.07,72,20,3.09,US,1686337630
7,bethel,41.3712,-73.414,22.05,54,75,3.09,US,1686337474
8,invercargill,-46.4,168.35,0.62,92,5,1.77,NZ,1686337630
9,port-aux-francais,-49.35,70.2167,5.89,82,31,8.31,TF,1686337630
10,puerto ayora,-0.7393,-90.3518,29.98,90,54,0.89,EC,1686337631
11,adamstown,-25.066,-130.1015,20.56,68,61,5.89,PN,1686337631
12,qaqortoq,60.7167,-46.0333,6.19,62,19,1.32,GL,1686337631
13,longyearbyen,78.2186,15.6401,1.91,87,75,7.2,SJ,1686337382
14,stanley,54.868,-1.6985,12.08,81,52,3.27,GB,1686337151
15,ketchikan,55.3422,-131.6461,16.26,63,75,5.14,US,1686337564
16,utrik,11.2278,169.8474,27.81,81,87,6.6,MH,1686337632
17,lompoc,34.6391,-120.4579,17.51,78,100,1.79,US,1686337632
18,kidal,18.4411,1.4078,38.8,10,6,4.38,ML,1686337632
19,puerto baquerizo moreno,-0.9,-89.6,29.55,70,40,4.63,EC,1686337632
20,ilulissat,69.2167,-51.1,4.01,65,75,1.54,GL,1686337633
21,ust'-ilimsk,58.0006,102.6619,18.97,75,100,1.58,RU,1686337633
22,canico,32.6333,-16.85,23.17,83,40,1.54,PT,1686337633
23,jinchang,38.4953,102.1739,23.36,18,66,2.93,CN,1686337634
24,blackmans bay,-43.0167,147.3167,9.85,67,56,4.46,AU,1686337634
25,ust-nera,64.5667,143.2,14.7,67,100,1.4,RU,1686337535
26,ushuaia,-54.8,-68.3,2.81,87,75,7.72,AR,1686337545
27,waitangi,-43.9535,-176.5597,10.46,89,100,0.89,NZ,1686337634
28,borskoye,53.0333,51.7167,14.88,70,3,0.95,RU,1686337635
29,edinburgh of the seven seas,-37.0676,-12.3116,14.31,78,100,13.08,SH,1686337635
30,papatowai,-46.5619,169.4708,2.91,79,2,1.15,NZ,1686337635
31,barcelos,41.5388,-8.6151,21.58,93,84,3.48,PT,1686337602
32,jamestown,42.097,-79.2353,15.01,86,100,4.12,US,1686336942
33,mount pearl,47.5166,-52.7813,11.03,96,100,3.6,CA,1686337427
34,weno,7.4515,151.8468,28.0,80,100,3.16,FM,1686337635
35,mount gambier,-37.8333,140.7667,10.98,81,96,3.2,AU,1686337353
36,federal,-30.9547,-58.7833,27.81,52,66,3.41,AR,1686337636
37,coquimbo,-29.9533,-71.3436,18.85,72,0,5.66,CL,1686337210
38,fort bragg,35.139,-79.006,27.89,28,40,2.06,US,1686337308
39,beau vallon,-20.4189,57.6953,24.13,78,40,3.6,MU,1686337636
40,grytviken,-54.2811,-36.5092,0.15,92,99,2.01,GS,1686337636
41,luderitz,-26.6481,15.1594,13.47,85,0,4.23,NA,1686337636
42,albany,42.6001,-73.9662,18.82,71,98,0.45,US,1686337462
43,mbaiki,3.8678,17.9892,21.15,97,100,0.58,CF,1686337637
44,kismayo,-0.3582,42.5454,26.4,80,74,6.73,SO,1686337637
45,trinity beach,-16.7888,145.6968,19.94,90,7,3.6,AU,1686337637
46,whitehorse,60.7161,-135.0538,15.57,54,100,4.47,CA,1686337638
47,badger,64.8,-147.5333,18.62,54,75,8.23,US,1686337638
48,constantia,44.1833,28.65,18.38,82,29,1.68,RO,1686337638
49,salinopolis,-0.6136,-47.3561,28.57,76,11,5.26,BR,1686337638
50,fillmore,43.6666,-92.1002,27.68,29,0,2.06,US,1686337638
51,broken hill,-31.95,141.4333,8.41,67,0,0.12,AU,1686337352
52,sihanoukville,10.6093,103.5296,25.97,94,40,0.0,KH,1686337639
53,ojinaga,29.5667,-104.4167,37.54,24,0,2.06,MX,1686337599
54,udachny,66.4167,112.4,16.75,70,99,3.06,RU,1686337639
55,puerto natales,-51.7236,-72.4875,5.25,56,75,5.66,CL,1686337639
56,margaret river,-33.95,115.0667,15.84,73,68,6.35,AU,1686337372
57,quang ngai,15.1167,108.8,26.38,75,100,2.13,VN,1686337562
58,keflavik,64.0049,-22.5624,8.95,71,75,9.26,IS,1686337163
59,rancho palos verdes,33.7445,-118.387,19.99,82,100,4.12,US,1686337640
60,santo domingo petapa,16.8181,-95.1403,37.29,35,13,3.16,MX,1686337640
61,quelimane,-17.8786,36.8883,25.97,83,0,3.6,MZ,1686337641
62,hithadhoo,-0.6,73.0833,28.61,69,100,2.44,MV,1686337641
63,tura,25.5198,90.2201,24.64,87,100,1.83,IN,1686337641
64,yellowknife,62.456,-114.3525,15.87,63,15,8.05,CA,1686337641
65,san clemente del tuyu,-36.3569,-56.7235,12.21,63,100,4.99,AR,1686337641
66,hammerfest,70.6634,23.6821,5.25,70,75,3.09,NO,1686337641
67,coachella,33.6803,-116.1739,34.23,23,0,3.6,US,1686337383
68,ginir,7.1333,40.7,14.67,90,32,2.89,ET,1686337642
69,hermanus,-34.4187,19.2345,12.11,82,100,1.1,ZA,1686337525
70,college,64.8569,-147.8028,18.66,50,75,8.23,US,1686337642
71,mejit,10.2753,170.8646,27.66,82,100,6.4,MH,1686337642
72,kol'chugino,56.3,39.3833,11.5,68,94,4.22,RU,1686337643
73,kodiak,57.79,-152.4072,7.73,93,100,7.72,US,1686337379
74,vadso,70.0744,29.7487,6.49,61,40,6.69,NO,1686337398
75,lhasa,29.65,91.1,13.69,69,97,1.54,CN,1686337643
76,lorengau,-2.0226,147.2712,26.43,83,100,1.75,PG,1686337643
77,brookings,44.3114,-96.7984,25.14,78,40,3.6,US,1686337643
78,banda aceh,5.5577,95.3222,27.04,80,100,5.63,ID,1686337478
79,nemuro,43.3236,145.575,8.94,98,100,5.77,JP,1686337644
80,benguela,-12.5763,13.4055,21.3,85,90,1.01,AO,1686337644
81,road town,18.4167,-64.6167,31.05,70,40,4.12,VG,1686337644
82,laguna,38.421,-121.4238,25.73,52,0,5.14,US,1686337513
83,revda,56.801,59.9303,10.24,65,74,1.7,RU,1686337644
84,baoying,33.2292,119.3092,24.79,62,0,3.72,CN,1686337645
85,geraldton,-28.7667,114.6,10.23,87,0,4.12,AU,1686337645
86,inarajan village,13.2736,144.7484,28.08,97,100,1.16,GU,1686337645
87,richards bay,-28.783,32.0377,19.69,73,69,0.7,ZA,1686337646
88,kamina,-8.7386,24.9906,20.42,43,59,1.64,CD,1686337646
89,talnakh,69.4865,88.3972,3.24,79,12,3.52,RU,1686337646
90,magadan,59.5667,150.8,7.62,91,17,2.7,RU,1686337646
91,saldanha,-33.0117,17.9442,13.62,90,1,1.87,ZA,1686337647
92,chapada dos guimaraes,-15.4606,-55.7497,29.81,27,0,2.47,BR,1686337410
93,bandarbeyla,9.4942,50.8122,27.14,77,34,12.24,SO,1686337647
94,west island,-12.1568,96.8225,25.99,73,75,10.07,CC,1686337647
95,taksimo,56.3444,114.8794,11.27,60,24,0.46,RU,1686337648
96,marsh harbour,26.5412,-77.0636,28.77,66,100,6.13,BS,1686337525
97,namibe,-15.1961,12.1522,19.01,79,0,2.83,AO,1686337648
98,tyukhtet,56.5389,89.3011,14.1,93,100,4.13,RU,1686337648
99,vorgashor,67.5833,63.95,7.07,51,100,5.23,RU,1686337649
100,sassandra,4.95,-6.0833,25.61,90,91,3.64,CI,1686337649
101,kununurra,-15.7667,128.7333,18.99,88,96,0.0,AU,1686337563
102,sinop,41.7711,34.8709,14.95,90,100,1.19,TR,1686337649
103,lospalos,-8.5186,127.0025,21.62,91,25,2.52,TL,1686337649
104,vilyuchinsk,52.9306,158.4028,8.15,74,19,3.49,RU,1686337650
105,ottumwa,41.02,-92.4113,28.3,34,0,4.63,US,1686337650
106,constitucion,-35.3333,-72.4167,12.64,51,11,4.63,CL,1686337562
107,ontario,34.0633,-117.6509,27.03,70,100,3.09,US,1686337212
108,port alfred,-33.5906,26.891,12.32,84,39,1.79,ZA,1686337650
109,klaksvik,62.2266,-6.589,10.51,74,38,6.52,FO,1686337651
110,meadow lake,34.8014,-106.5436,28.58,17,100,3.32,US,1686337651
111,lihue,21.9789,-159.3672,25.77,80,75,5.14,US,1686337601
112,queanbeyan,-35.35,149.2333,3.88,95,4,2.06,AU,1686337651
113,susuman,62.7833,148.1667,12.21,59,10,1.08,RU,1686337651
114,lebu,-37.6167,-73.65,11.57,66,100,6.03,CL,1686337652
115,manta,-0.95,-80.7333,29.88,89,75,7.6,EC,1686337652
116,al jumum,21.6169,39.6981,36.44,21,2,1.55,SA,1686337652
117,minas de marcona,-15.2119,-75.1103,18.32,59,3,5.24,PE,1686337653
118,atafu village,-8.5421,-172.5159,28.61,75,15,5.34,TK,1686337653
119,yoichi,43.2039,140.7703,14.97,86,34,4.18,JP,1686337654
120,kingston,17.997,-76.7936,31.23,75,40,9.77,JM,1686337551
121,chibougamau,49.9168,-74.3659,15.49,50,94,1.62,CA,1686337654
